	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k1910670b/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1910670b												http://catalogue.bnf.fr/ark:/12148/cb31163439s	1765	Audinot, Nicolas-Médard (1732-1801). Auteur du texte ¤ Quétant, François-Antoine (1733-1823). Auteur du texte		Le Tonnelier, opéra-comique mêlé d'ariettes... [Par N. M. Audinot et Quétant.] [Paris, les Comédiens italiens, 16 mars 1765]		A Paris, chez Duchesne, libraire, rue S. Jacques, au-dessous de la Fontaine S. Benoit, au Temple du Goût	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	56		80,92	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3807 (7)
https://gallica.bnf.fr/ark:/12148/bpt6k141738n/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k141738n							1					http://catalogue.bnf.fr/ark:/12148/cb31163838j	1903	Queyriaux, Antoine (1844-1918). Auteur du texte		Baptiste n'est pas veinard !... comédie bouffe en 1 acte... / Ant. Queyriaux		(Paris)			Gallica		domaine public ¤ public domain	33		0	Bibliothèque nationale de France, département Littérature et art, 8-YTH-30537
https://gallica.bnf.fr/ark:/12148/bpt6k626230/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k626230						Yes						http://catalogue.bnf.fr/ark:/12148/cb311642980	1896	Sophocle (0496?-0406 av. J.-C.). Auteur du texte		Philoktètès : tragédie / de Sophocle , traduite et mise à la scène par Pierre Quillard , musique de Arthur Coquard...	Quillard, Pierre (1864-1912). Traducteur ¤ Coquard, Arthur (1846-1910). Compositeur. Ancien possesseur	E. Fasquelle (Paris)	[Philoctète (français). 1896] ¤ Livrets		Gallica		domaine public ¤ public domain	78		89,17	Bibliothèque nationale de France, département Littérature et art, ASP Re-707
https://gallica.bnf.fr/ark:/12148/bpt6k9794126t/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9794126t												http://catalogue.bnf.fr/ark:/12148/cb31164468m	1715	Quinault, Philippe (1635-1688). Auteur du texte		Le theatre de Mr Quinault. Tome 2 / , contenant ses tragedies, comedies et opera. Derniere edition, augmentée de sa vie, d'une dissertation sur ses ouvrages et de l'origine de l'opera. Le tout enrichi de figures en taille-douce. Tome I[-V]	Boffrand, Germain (1667-1754). Préfacier	A Paris, chez Pierre Ribou, seul libraire de l'Académie royale de musique, Quai des Augustins, à la descente du Pont-Neuf, à l'image Saint Loüis. M.DCC.XV. Avec approbation & privilege du Roi.	Avec mode texte ¤ Opéras		Gallica		domaine public ¤ public domain	512	GTextes1	83,51	Bibliothèque nationale de France, département Littérature et art, YF-2651
https://gallica.bnf.fr/ark:/12148/bpt6k97930851/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k97930851												http://catalogue.bnf.fr/ark:/12148/cb31164468m	1715	Quinault, Philippe (1635-1688). Auteur du texte		Le theatre de Mr Quinault. Tome 3 / , contenant ses tragedies, comedies et opera. Derniere edition, augmentée de sa vie, d'une dissertation sur ses ouvrages et de l'origine de l'opera. Le tout enrichi de figures en taille-douce. Tome I[-V]	Boffrand, Germain (1667-1754). Préfacier	A Paris, chez Pierre Ribou, seul libraire de l'Académie royale de musique, Quai des Augustins, à la descente du Pont-Neuf, à l'image Saint Loüis. M.DCC.XV. Avec approbation & privilege du Roi.	Avec mode texte ¤ Opéras		Gallica		domaine public ¤ public domain	412	GTextes1	85,88	Bibliothèque nationale de France, département Littérature et art, YF-2652
https://gallica.bnf.fr/ark:/12148/bpt6k9793084m/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9793084m												http://catalogue.bnf.fr/ark:/12148/cb31164468m	1715	Quinault, Philippe (1635-1688). Auteur du texte		Le theatre de Mr Quinault. Tome 4 / , contenant ses tragedies, comedies et opera. Derniere edition, augmentée de sa vie, d'une dissertation sur ses ouvrages et de l'origine de l'opera. Le tout enrichi de figures en taille-douce. Tome I[-V]	Boffrand, Germain (1667-1754). Préfacier	A Paris, chez Pierre Ribou, seul libraire de l'Académie royale de musique, Quai des Augustins, à la descente du Pont-Neuf, à l'image Saint Loüis. M.DCC.XV. Avec approbation & privilege du Roi.	Avec mode texte ¤ Opéras		Gallica		domaine public ¤ public domain	426	GTextes1	79,51	Bibliothèque nationale de France, département Littérature et art, YF-2653
https://gallica.bnf.fr/ark:/12148/bpt6k9790721k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9790721k												http://catalogue.bnf.fr/ark:/12148/cb31164468m	1715	Quinault, Philippe (1635-1688). Auteur du texte		Le theatre de Mr Quinault. Tome 5 / , contenant ses tragedies, comedies et opera. Derniere edition, augmentée de sa vie, d'une dissertation sur ses ouvrages et de l'origine de l'opera. Le tout enrichi de figures en taille-douce. Tome I[-V]	Boffrand, Germain (1667-1754). Préfacier	A Paris, chez Pierre Ribou, seul libraire de l'Académie royale de musique, Quai des Augustins, à la descente du Pont-Neuf, à l'image Saint Loüis. M.DCC.XV. Avec approbation & privilege du Roi.	Avec mode texte ¤ Opéras		Gallica		domaine public ¤ public domain	458	GTextes1	80,55	Bibliothèque nationale de France, département Littérature et art, YF-2654
https://gallica.bnf.fr/ark:/12148/bpt6k1517751j/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1517751j												http://catalogue.bnf.fr/ark:/12148/cb31164469z	1739	Quinault, Philippe (1635-1688). Auteur du texte		Le Théâtre de M. Quinault, contenant ses tragédies, comédies et opéras. Nouvelle édition [précédée de la Vie de Quinault, par Boffrand].... Tome 1		par la compagnie des librairies (Paris)	Livrets		Gallica		domaine public ¤ public domain	577	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, YF-2655
https://gallica.bnf.fr/ark:/12148/bpt6k1517753c/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1517753c												http://catalogue.bnf.fr/ark:/12148/cb31164469z	1739	Quinault, Philippe (1635-1688). Auteur du texte		Le Théâtre de M. Quinault, contenant ses tragédies, comédies et opéras. Nouvelle édition [précédée de la Vie de Quinault, par Boffrand].... Tome 2		par la compagnie des librairies (Paris)	Livrets		Gallica		domaine public ¤ public domain	547	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, YF-2656
https://gallica.bnf.fr/ark:/12148/bpt6k15177556/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k15177556												http://catalogue.bnf.fr/ark:/12148/cb31164469z	1739	Quinault, Philippe (1635-1688). Auteur du texte		Le Théâtre de M. Quinault, contenant ses tragédies, comédies et opéras. Nouvelle édition [précédée de la Vie de Quinault, par Boffrand].... Tome 3		par la compagnie des librairies (Paris)	Livrets		Gallica		domaine public ¤ public domain	427	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, YF-2657
